# P	count	tag	form
1.00	1	ADJ	владетельного
1.00	1	NOUN	принца
1.00	1	VERB	шагал
1.00	1	ADJ	правую
1.00	1	ADJ	Трудовая
1.00	1	NOUN	жизнь
1.00	1	VERB	излечила
1.00	1	ADJ	первосортным
1.00	1	ADJ	дорогим
1.00	1	VERB	любил
1.00	1	VERB	пустить
1.00	1	NOUN	пыль
1.00	2	NOUN	углу
1.00	1	ADJ	приятному
1.00	1	NOUN	безделью
1.00	1	VERB	торчала
1.00	1	NOUN	кучка
1.00	2	ADJ	молодых
1.00	1	NOUN	людей
1.00	1	ADJ	безукоризненных
1.00	1	NOUN	костюмах
1.00	1	NOUN	Члены
1.00	1	VERB	приподняли
1.00	1	NOUN	шляпы
1.00	1	VERB	приветствуя
1.00	1	NOUN	подружку
1.00	1	VERB	возобновили
1.00	2	DET	свою
1.00	1	DET	некотором
1.00	1	NOUN	расстоянии
1.00	1	VERB	вызывавшей
1.00	1	NOUN	сенсацию
1.00	1	NOUN	парочки
